Feature,Importance,Importance (%),Cumulative Importance
step,0.4060892048176275,40.60892048176275,0.4060892048176275
sender_balance_change,0.1987448618298839,19.87448618298839,0.6048340666475114
amount_to_balance_ratio,0.14329687522957052,14.329687522957052,0.7481309418770818
amount,0.03769114721361164,3.7691147213611638,0.7858220890906935
oldbalanceOrg,0.036375755696281015,3.6375755696281016,0.8221978447869746
oldbalanceDest,0.029691448206736977,2.969144820673698,0.8518892929937115
large_transaction,0.029328699698734622,2.932869969873462,0.8812179926924462
newbalanceDest,0.02469549392125158,2.469549392125158,0.9059134866136977
newbalanceOrig,0.02373047580092901,2.373047580092901,0.9296439624146268
receiver_balance_change,0.01853791879038803,1.853791879038803,0.9481818812050148
type_TRANSFER,0.017808462391420712,1.7808462391420712,0.9659903435964355
type_PAYMENT,0.012621672231590414,1.2621672231590413,0.9786120158280259
type_CASH_OUT,0.010785882885425261,1.0785882885425262,0.9893978987134512
isMerchant,0.010518297100471377,1.0518297100471377,0.9999161958139225
type_DEBIT,8.380418607731927e-05,0.008380418607731926,0.9999999999999999
